Student_ID,Enrolled_Courses
Student_0117,"리액트, 뷰(Vue), 자바스크립트"
Student_0118,"SQL, 파이썬 기초"
Student_0119,"HTML/CSS, SQL, 머신러닝, 뷰(Vue)"
Student_0120,"HTML/CSS, 리액트, 뷰(Vue), 웹 디자인 기초"
Student_0121,"HTML/CSS, 데이터 분석, 머신러닝, 파이썬 기초"
Student_0122,"HTML/CSS, 리액트, 뷰(Vue), 자바스크립트"
Student_0123,"HTML/CSS, 리액트, 자바스크립트"
Student_0124,"HTML/CSS, 뷰(Vue)"
Student_0125,"HTML/CSS, 데이터 분석, 뷰(Vue), 웹 디자인 기초, 자바스크립트"
Student_0126,"SQL, 데이터 분석, 태블로 시각화"
Student_0127,"웹 디자인 기초, 자바스크립트, 태블로 시각화"
Student_0128,"HTML/CSS, 웹 디자인 기초"
Student_0129,"SQL, 파이썬 기초"
Student_0130,"데이터 분석, 파이썬 기초"
Student_0131,"HTML/CSS, 리액트, 뷰(Vue)"
Student_0132,"데이터 분석, 머신러닝, 파이썬 기초"
Student_0133,"HTML/CSS, 리액트, 뷰(Vue), 자바스크립트"
Student_0134,"데이터 분석, 파이썬 기초"
Student_0135,"SQL, 데이터 분석, 리액트, 태블로 시각화"
Student_0136,"뷰(Vue), 웹 디자인 기초, 자바스크립트, 파이썬 기초"
Student_0137,"HTML/CSS, 리액트, 뷰(Vue), 웹 디자인 기초"
Student_0138,"HTML/CSS, 리액트, 웹 디자인 기초, 자바스크립트"
Student_0139,"뷰(Vue), 웹 디자인 기초"
Student_0140,"데이터 분석, 머신러닝, 태블로 시각화, 파이썬 기초"
Student_0141,"SQL, 데이터 분석, 머신러닝, 파이썬 기초"
Student_0142,"데이터 분석, 리액트, 태블로 시각화, 파이썬 기초"
Student_0143,"SQL, 태블로 시각화, 파이썬 기초"
Student_0144,"리액트, 자바스크립트"
Student_0145,"HTML/CSS, 뷰(Vue), 자바스크립트"
Student_0146,"데이터 분석, 리액트, 파이썬 기초"
Student_0147,"SQL, 리액트, 머신러닝, 태블로 시각화"
Student_0148,"데이터 분석, 태블로 시각화, 파이썬 기초"
Student_0149,"SQL, 머신러닝"
Student_0150,"데이터 분석, 머신러닝, 태블로 시각화"
Student_0151,"데이터 분석, 머신러닝, 태블로 시각화, 파이썬 기초"
Student_0152,"HTML/CSS, 리액트, 웹 디자인 기초"
Student_0153,"데이터 분석, 머신러닝, 태블로 시각화, 파이썬 기초"
Student_0154,"SQL, 데이터 분석, 머신러닝, 태블로 시각화"
Student_0155,"웹 디자인 기초, 자바스크립트"
Student_0156,"SQL, 머신러닝, 파이썬 기초"
Student_0157,"SQL, 리액트, 자바스크립트"
Student_0158,"HTML/CSS, 뷰(Vue)"
Student_0159,"HTML/CSS, 뷰(Vue), 웹 디자인 기초"
Student_0160,"SQL, 데이터 분석, 태블로 시각화, 파이썬 기초"
Student_0161,"HTML/CSS, 리액트, 뷰(Vue), 자바스크립트"
Student_0162,"HTML/CSS, SQL, 리액트, 웹 디자인 기초"
Student_0163,"데이터 분석, 뷰(Vue), 웹 디자인 기초, 자바스크립트"
Student_0164,"뷰(Vue), 자바스크립트"
Student_0165,"HTML/CSS, 파이썬 기초"
Student_0166,"데이터 분석, 머신러닝, 파이썬 기초"
Student_0167,"머신러닝, 웹 디자인 기초, 자바스크립트"
Student_0168,"뷰(Vue), 자바스크립트"
Student_0169,"HTML/CSS, 리액트, 자바스크립트"
Student_0170,"HTML/CSS, 뷰(Vue)"
Student_0171,"리액트, 자바스크립트, 태블로 시각화"
Student_0172,"머신러닝, 뷰(Vue), 웹 디자인 기초"
Student_0173,"HTML/CSS, 리액트, 웹 디자인 기초, 자바스크립트"
Student_0174,"HTML/CSS, 뷰(Vue), 웹 디자인 기초, 자바스크립트"
Student_0175,"SQL, 데이터 분석, 머신러닝, 파이썬 기초"
Student_0176,"리액트, 웹 디자인 기초, 태블로 시각화, 파이썬 기초"
Student_0177,"HTML/CSS, 리액트, 웹 디자인 기초, 자바스크립트"
Student_0178,"SQL, 태블로 시각화"
Student_0179,"리액트, 태블로 시각화"
Student_0180,"HTML/CSS, 데이터 분석, 리액트"
Student_0181,"머신러닝, 자바스크립트"
Student_0182,"HTML/CSS, 데이터 분석, 자바스크립트, 파이썬 기초"
Student_0183,"SQL, 머신러닝"
Student_0184,"HTML/CSS, 리액트, 뷰(Vue), 웹 디자인 기초"
Student_0185,"HTML/CSS, 리액트, 웹 디자인 기초, 자바스크립트"
Student_0186,"HTML/CSS, 리액트, 뷰(Vue), 웹 디자인 기초, 파이썬 기초"
Student_0187,"머신러닝, 태블로 시각화, 파이썬 기초"
Student_0188,"SQL, 머신러닝, 태블로 시각화"
Student_0189,"SQL, 머신러닝, 파이썬 기초"
Student_0190,"HTML/CSS, 머신러닝"
Student_0191,"SQL, 파이썬 기초"
Student_0192,"SQL, 데이터 분석, 태블로 시각화, 파이썬 기초"
Student_0193,"SQL, 데이터 분석, 파이썬 기초"
Student_0194,"HTML/CSS, 머신러닝"
Student_0195,"데이터 분석, 머신러닝, 웹 디자인 기초, 태블로 시각화"
Student_0196,"SQL, 데이터 분석"
Student_0197,"리액트, 웹 디자인 기초, 자바스크립트"
Student_0198,"데이터 분석, 머신러닝, 태블로 시각화, 파이썬 기초"
Student_0199,"데이터 분석, 머신러닝, 뷰(Vue), 파이썬 기초"
Student_0200,"HTML/CSS, 리액트, 뷰(Vue), 자바스크립트"
Student_0201,"SQL, 데이터 분석, 태블로 시각화, 파이썬 기초"
Student_0202,"리액트, 자바스크립트"
Student_0203,"HTML/CSS, 머신러닝, 태블로 시각화"
Student_0204,"데이터 분석, 파이썬 기초"
Student_0205,"리액트, 뷰(Vue), 웹 디자인 기초, 자바스크립트"
Student_0206,"HTML/CSS, 자바스크립트"
Student_0207,"리액트, 뷰(Vue), 자바스크립트"
Student_0208,"SQL, 데이터 분석, 태블로 시각화"
Student_0209,"HTML/CSS, 뷰(Vue), 웹 디자인 기초, 파이썬 기초"
Student_0210,"HTML/CSS, 리액트, 자바스크립트"
Student_0211,"HTML/CSS, 리액트, 뷰(Vue), 자바스크립트"
Student_0212,"리액트, 웹 디자인 기초, 자바스크립트, 태블로 시각화"
Student_0213,"데이터 분석, 머신러닝, 태블로 시각화, 파이썬 기초"
Student_0214,"데이터 분석, 머신러닝, 태블로 시각화"
Student_0215,"뷰(Vue), 웹 디자인 기초, 태블로 시각화, 파이썬 기초"
Student_0216,"SQL, 리액트, 태블로 시각화, 파이썬 기초"
Student_0217,"HTML/CSS, 리액트, 웹 디자인 기초"
Student_0218,"SQL, 머신러닝, 웹 디자인 기초, 태블로 시각화, 파이썬 기초"
Student_0219,"SQL, 머신러닝, 파이썬 기초"
Student_0220,"HTML/CSS, 리액트, 뷰(Vue), 웹 디자인 기초"
Student_0221,"HTML/CSS, 리액트, 뷰(Vue), 자바스크립트"
Student_0222,"데이터 분석, 태블로 시각화, 파이썬 기초"
Student_0223,"SQL, 데이터 분석, 머신러닝, 뷰(Vue), 태블로 시각화"
Student_0224,"머신러닝, 파이썬 기초"
Student_0225,"SQL, 데이터 분석"
Student_0226,"데이터 분석, 머신러닝, 파이썬 기초"
Student_0227,"HTML/CSS, 리액트, 웹 디자인 기초, 자바스크립트"
Student_0228,"머신러닝, 파이썬 기초"
Student_0229,"HTML/CSS, 뷰(Vue), 웹 디자인 기초, 자바스크립트"
Student_0230,"리액트, 웹 디자인 기초"
Student_0231,"HTML/CSS, 뷰(Vue), 웹 디자인 기초"
Student_0232,"HTML/CSS, 리액트, 뷰(Vue), 자바스크립트"
Student_0233,"HTML/CSS, 웹 디자인 기초"
Student_0234,"SQL, 데이터 분석, 리액트, 파이썬 기초"
Student_0235,"데이터 분석, 머신러닝, 태블로 시각화, 파이썬 기초"
Student_0236,"리액트, 뷰(Vue), 웹 디자인 기초, 자바스크립트"
Student_0237,"SQL, 머신러닝, 웹 디자인 기초, 태블로 시각화"
Student_0238,"머신러닝, 태블로 시각화, 파이썬 기초"
Student_0239,"데이터 분석, 머신러닝, 태블로 시각화, 파이썬 기초"
Student_0240,"리액트, 뷰(Vue), 웹 디자인 기초, 자바스크립트"
Student_0241,"HTML/CSS, 데이터 분석, 웹 디자인 기초"
Student_0242,"HTML/CSS, 자바스크립트"
Student_0243,"HTML/CSS, SQL, 뷰(Vue), 웹 디자인 기초"
Student_0244,"HTML/CSS, 자바스크립트, 파이썬 기초"
Student_0245,"HTML/CSS, 리액트, 뷰(Vue), 자바스크립트"
Student_0246,"데이터 분석, 머신러닝, 자바스크립트, 태블로 시각화"
Student_0247,"SQL, 데이터 분석, 자바스크립트"
Student_0248,"SQL, 데이터 분석, 태블로 시각화"
Student_0249,"데이터 분석, 뷰(Vue), 자바스크립트, 태블로 시각화"
Student_0250,"SQL, 데이터 분석, 파이썬 기초"
Student_0251,"웹 디자인 기초, 자바스크립트"
Student_0252,"태블로 시각화, 파이썬 기초"
Student_0253,"HTML/CSS, 리액트, 뷰(Vue), 자바스크립트"
Student_0254,"HTML/CSS, 뷰(Vue), 웹 디자인 기초, 자바스크립트"
Student_0255,"리액트, 뷰(Vue), 웹 디자인 기초"
Student_0256,"SQL, 머신러닝"
Student_0257,"SQL, 데이터 분석, 머신러닝, 태블로 시각화"
Student_0258,"SQL, 리액트, 웹 디자인 기초, 자바스크립트"
Student_0259,"SQL, 태블로 시각화, 파이썬 기초"
Student_0260,"HTML/CSS, 뷰(Vue), 자바스크립트"
Student_0261,"HTML/CSS, 뷰(Vue), 자바스크립트"
Student_0262,"HTML/CSS, 자바스크립트, 파이썬 기초"
Student_0263,"HTML/CSS, SQL, 데이터 분석"
Student_0264,"HTML/CSS, 리액트, 웹 디자인 기초, 자바스크립트"
Student_0265,"HTML/CSS, 뷰(Vue), 웹 디자인 기초, 자바스크립트"
Student_0266,"데이터 분석, 리액트, 머신러닝"
Student_0267,"데이터 분석, 파이썬 기초"
Student_0268,"HTML/CSS, 웹 디자인 기초, 자바스크립트"
Student_0269,"SQL, 데이터 분석, 태블로 시각화, 파이썬 기초"
Student_0270,"데이터 분석, 머신러닝, 파이썬 기초"
Student_0271,"데이터 분석, 태블로 시각화, 파이썬 기초"
Student_0272,"HTML/CSS, SQL, 머신러닝, 태블로 시각화"
Student_0273,"SQL, 머신러닝, 태블로 시각화, 파이썬 기초"
Student_0274,"SQL, 데이터 분석, 머신러닝, 태블로 시각화"
Student_0275,"HTML/CSS, 뷰(Vue)"
Student_0276,"SQL, 파이썬 기초"
Student_0277,"HTML/CSS, 리액트, 뷰(Vue), 웹 디자인 기초"
Student_0278,"SQL, 리액트, 웹 디자인 기초"
Student_0279,"데이터 분석, 머신러닝, 태블로 시각화"
Student_0280,"HTML/CSS, 리액트, 웹 디자인 기초"
Student_0281,"SQL, 데이터 분석, 리액트, 태블로 시각화, 파이썬 기초"
Student_0282,"SQL, 데이터 분석, 머신러닝, 태블로 시각화"
Student_0283,"데이터 분석, 머신러닝, 태블로 시각화"
Student_0284,"HTML/CSS, 뷰(Vue)"
Student_0285,"HTML/CSS, 뷰(Vue), 웹 디자인 기초, 자바스크립트, 파이썬 기초"
Student_0286,"SQL, 데이터 분석, 태블로 시각화, 파이썬 기초"
Student_0287,"HTML/CSS, 리액트, 뷰(Vue)"
Student_0288,"HTML/CSS, 리액트, 웹 디자인 기초"
Student_0289,"머신러닝, 태블로 시각화"
Student_0290,"SQL, 데이터 분석, 머신러닝"
Student_0291,"SQL, 데이터 분석, 머신러닝"
Student_0292,"HTML/CSS, 뷰(Vue), 자바스크립트"
Student_0293,"HTML/CSS, 데이터 분석, 태블로 시각화"
Student_0294,"리액트, 자바스크립트"
Student_0295,"데이터 분석, 태블로 시각화"
Student_0296,"SQL, 데이터 분석, 태블로 시각화, 파이썬 기초"
Student_0297,"SQL, 머신러닝, 태블로 시각화"
Student_0298,"데이터 분석, 머신러닝, 태블로 시각화, 파이썬 기초"
Student_0299,"HTML/CSS, 웹 디자인 기초, 자바스크립트"
Student_0300,"데이터 분석, 뷰(Vue)"
Student_0301,"SQL, 데이터 분석"
Student_0302,"SQL, 데이터 분석, 머신러닝, 파이썬 기초"
Student_0303,"HTML/CSS, 리액트"
Student_0304,"SQL, 데이터 분석, 머신러닝, 태블로 시각화"
Student_0305,"HTML/CSS, 웹 디자인 기초"
Student_0306,"리액트, 뷰(Vue), 자바스크립트"
Student_0307,"리액트, 뷰(Vue), 웹 디자인 기초, 자바스크립트"
Student_0308,"HTML/CSS, 리액트, 뷰(Vue), 자바스크립트"
Student_0309,"머신러닝, 태블로 시각화, 파이썬 기초"
Student_0310,"SQL, 데이터 분석, 태블로 시각화, 파이썬 기초"
Student_0311,"리액트, 자바스크립트"
Student_0312,"데이터 분석, 뷰(Vue), 파이썬 기초"
Student_0313,"뷰(Vue), 웹 디자인 기초, 자바스크립트"
Student_0314,"뷰(Vue), 자바스크립트"
Student_0315,"HTML/CSS, 뷰(Vue), 웹 디자인 기초"
Student_0316,"SQL, 리액트, 자바스크립트"
Student_0317,"HTML/CSS, 리액트, 뷰(Vue), 웹 디자인 기초"
Student_0318,"HTML/CSS, SQL, 데이터 분석, 머신러닝"
Student_0319,"리액트, 웹 디자인 기초, 태블로 시각화"
Student_0320,"HTML/CSS, 리액트, 뷰(Vue), 웹 디자인 기초"
Student_0321,"HTML/CSS, 리액트, 웹 디자인 기초"
Student_0322,"HTML/CSS, 리액트, 뷰(Vue), 웹 디자인 기초"
Student_0323,"HTML/CSS, 리액트, 뷰(Vue), 자바스크립트"
Student_0324,"리액트, 뷰(Vue)"
Student_0325,"리액트, 뷰(Vue), 웹 디자인 기초, 자바스크립트"
Student_0326,"SQL, 머신러닝, 파이썬 기초"
Student_0327,"HTML/CSS, 뷰(Vue), 웹 디자인 기초, 자바스크립트"
Student_0328,"데이터 분석, 뷰(Vue), 웹 디자인 기초"
Student_0329,"데이터 분석, 머신러닝, 태블로 시각화, 파이썬 기초"
Student_0330,"SQL, 데이터 분석, 머신러닝, 태블로 시각화"
Student_0331,"웹 디자인 기초, 자바스크립트"
Student_0332,"HTML/CSS, 뷰(Vue), 자바스크립트"
Student_0333,"HTML/CSS, 뷰(Vue), 웹 디자인 기초"
Student_0334,"HTML/CSS, 리액트, 뷰(Vue), 웹 디자인 기초"
Student_0335,"SQL, 데이터 분석, 태블로 시각화"
Student_0336,"SQL, 데이터 분석, 웹 디자인 기초, 태블로 시각화"
Student_0337,"HTML/CSS, SQL, 데이터 분석, 머신러닝"
Student_0338,"SQL, 머신러닝, 파이썬 기초"
Student_0339,"HTML/CSS, 리액트, 웹 디자인 기초, 자바스크립트"
Student_0340,"HTML/CSS, 리액트, 웹 디자인 기초, 자바스크립트"
Student_0341,"HTML/CSS, 자바스크립트"
Student_0342,"리액트, 자바스크립트"
Student_0343,"리액트, 웹 디자인 기초"
Student_0344,"데이터 분석, 태블로 시각화"
Student_0345,"뷰(Vue), 자바스크립트"
Student_0346,"머신러닝, 태블로 시각화"
Student_0347,"HTML/CSS, 웹 디자인 기초, 자바스크립트"
Student_0348,"SQL, 머신러닝, 태블로 시각화"
Student_0349,"뷰(Vue), 웹 디자인 기초"
Student_0350,"리액트, 뷰(Vue), 자바스크립트"
Student_0351,"SQL, 머신러닝, 태블로 시각화, 파이썬 기초"
Student_0352,"HTML/CSS, 리액트, 뷰(Vue)"
Student_0353,"SQL, 머신러닝"
Student_0354,"데이터 분석, 머신러닝, 태블로 시각화"
Student_0355,"SQL, 데이터 분석, 태블로 시각화, 파이썬 기초"
Student_0356,"SQL, 머신러닝"
Student_0357,"HTML/CSS, 리액트, 웹 디자인 기초, 자바스크립트"
Student_0358,"데이터 분석, 머신러닝"
Student_0359,"리액트, 뷰(Vue), 자바스크립트"
Student_0360,"HTML/CSS, 리액트, 웹 디자인 기초, 자바스크립트"
Student_0361,"HTML/CSS, 뷰(Vue), 웹 디자인 기초"
Student_0362,"뷰(Vue), 웹 디자인 기초"
Student_0363,"머신러닝, 태블로 시각화, 파이썬 기초"
Student_0364,"HTML/CSS, 뷰(Vue), 웹 디자인 기초"
Student_0365,"HTML/CSS, 리액트, 웹 디자인 기초"
Student_0366,"HTML/CSS, 뷰(Vue), 웹 디자인 기초, 자바스크립트"
Student_0367,"리액트, 뷰(Vue)"
Student_0368,"HTML/CSS, 머신러닝, 뷰(Vue)"
Student_0369,"SQL, 머신러닝"
Student_0370,"SQL, 머신러닝, 파이썬 기초"
Student_0371,"HTML/CSS, 리액트"
Student_0372,"HTML/CSS, 리액트, 웹 디자인 기초, 자바스크립트"
Student_0373,"리액트, 뷰(Vue), 웹 디자인 기초, 자바스크립트"
Student_0374,"SQL, 데이터 분석, 파이썬 기초"
Student_0375,"HTML/CSS, 뷰(Vue)"
Student_0376,"머신러닝, 웹 디자인 기초"
Student_0377,"SQL, 머신러닝, 태블로 시각화, 파이썬 기초"
Student_0378,"데이터 분석, 리액트, 태블로 시각화, 파이썬 기초"
Student_0379,"SQL, 데이터 분석, 머신러닝, 태블로 시각화"
Student_0380,"리액트, 뷰(Vue), 웹 디자인 기초, 자바스크립트"
Student_0381,"SQL, 리액트, 뷰(Vue), 웹 디자인 기초, 자바스크립트"
Student_0382,"HTML/CSS, 리액트, 뷰(Vue), 자바스크립트"
Student_0383,"SQL, 머신러닝"
Student_0384,"리액트, 자바스크립트"
Student_0385,"데이터 분석, 머신러닝, 파이썬 기초"
Student_0386,"SQL, 데이터 분석"
Student_0387,"SQL, 태블로 시각화, 파이썬 기초"
Student_0388,"머신러닝, 태블로 시각화, 파이썬 기초"
Student_0389,"HTML/CSS, 뷰(Vue), 웹 디자인 기초, 자바스크립트"
Student_0390,"데이터 분석, 태블로 시각화"
Student_0391,"데이터 분석, 머신러닝, 태블로 시각화"
Student_0392,"리액트, 뷰(Vue), 웹 디자인 기초"
Student_0393,"데이터 분석, 머신러닝, 뷰(Vue), 태블로 시각화"
Student_0394,"리액트, 웹 디자인 기초, 자바스크립트"
Student_0395,"HTML/CSS, 자바스크립트"
Student_0396,"SQL, 데이터 분석, 자바스크립트, 태블로 시각화"
Student_0397,"데이터 분석, 머신러닝, 태블로 시각화"
Student_0398,"리액트, 뷰(Vue), 태블로 시각화"
Student_0399,"HTML/CSS, 리액트, 뷰(Vue), 자바스크립트"
Student_0400,"HTML/CSS, 리액트, 뷰(Vue), 웹 디자인 기초"
Student_0401,"SQL, 데이터 분석, 머신러닝, 웹 디자인 기초, 파이썬 기초"
Student_0402,"뷰(Vue), 웹 디자인 기초"
Student_0403,"SQL, 머신러닝, 태블로 시각화, 파이썬 기초"
Student_0404,"HTML/CSS, 머신러닝, 태블로 시각화, 파이썬 기초"
Student_0405,"리액트, 자바스크립트"
Student_0406,"SQL, 데이터 분석, 파이썬 기초"
Student_0407,"SQL, 데이터 분석, 머신러닝, 파이썬 기초"
Student_0408,"HTML/CSS, 뷰(Vue)"
Student_0409,"HTML/CSS, 머신러닝, 자바스크립트"
Student_0410,"HTML/CSS, 리액트, 웹 디자인 기초"
Student_0411,"데이터 분석, 머신러닝, 태블로 시각화, 파이썬 기초"
Student_0412,"HTML/CSS, 뷰(Vue), 웹 디자인 기초"
Student_0413,"데이터 분석, 태블로 시각화"
Student_0414,"HTML/CSS, 리액트, 웹 디자인 기초"
Student_0415,"리액트, 웹 디자인 기초, 자바스크립트"
Student_0416,"SQL, 머신러닝, 태블로 시각화, 파이썬 기초"
Student_0417,"SQL, 뷰(Vue), 웹 디자인 기초, 자바스크립트"
Student_0418,"뷰(Vue), 웹 디자인 기초, 자바스크립트"
Student_0419,"머신러닝, 웹 디자인 기초, 태블로 시각화"
Student_0420,"태블로 시각화, 파이썬 기초"
Student_0421,"HTML/CSS, SQL, 데이터 분석, 머신러닝, 태블로 시각화"
Student_0422,"HTML/CSS, 데이터 분석, 태블로 시각화"
Student_0423,"머신러닝, 태블로 시각화"
Student_0424,"HTML/CSS, 웹 디자인 기초"
Student_0425,"SQL, 데이터 분석, 머신러닝, 파이썬 기초"
Student_0426,"HTML/CSS, 리액트, 웹 디자인 기초, 자바스크립트"
Student_0427,"SQL, 데이터 분석, 자바스크립트, 태블로 시각화"
Student_0428,"SQL, 머신러닝, 파이썬 기초"
Student_0429,"리액트, 머신러닝, 웹 디자인 기초, 파이썬 기초"
Student_0430,"SQL, 머신러닝"
Student_0431,"SQL, 데이터 분석, 머신러닝"
